INFO:root:Heuristic is: return len(grid.getAvailableCells())
INFO:root:Move number=1, number of leaves=4639, time to find=0.2204134464263916
INFO:root:Move number=2, number of leaves=7592, time to find=0.11649656295776367
INFO:root:Move number=3, number of leaves=10218, time to find=0.10692548751831055
INFO:root:Move number=4, number of leaves=12154, time to find=0.07913732528686523
INFO:root:Move number=5, number of leaves=14469, time to find=0.09703302383422852
INFO:root:Move number=6, number of leaves=17212, time to find=0.10708355903625488
INFO:root:Move number=7, number of leaves=19026, time to find=0.08206868171691895
INFO:root:Move number=8, number of leaves=21198, time to find=0.0954592227935791
INFO:root:Move number=9, number of leaves=23315, time to find=0.09354758262634277
INFO:root:Move number=10, number of leaves=25598, time to find=0.0985867977142334
INFO:root:Move number=11, number of leaves=27462, time to find=0.08034467697143555
INFO:root:Move number=12, number of leaves=28568, time to find=0.05065441131591797
INFO:root:Move number=13, number of leaves=29584, time to find=0.05169868469238281
INFO:root:Move number=14, number of leaves=30873, time to find=0.0630636215209961
INFO:root:Move number=15, number of leaves=32007, time to find=0.055962562561035156
INFO:root:Move number=16, number of leaves=33507, time to find=0.0699455738067627
INFO:root:Move number=17, number of leaves=34887, time to find=0.06565546989440918
INFO:root:Move number=18, number of leaves=36742, time to find=0.08236932754516602
INFO:root:Move number=19, number of leaves=38050, time to find=0.06256461143493652
INFO:root:Move number=20, number of leaves=39556, time to find=0.06284260749816895
INFO:root:Move number=21, number of leaves=40624, time to find=0.0523982048034668
INFO:root:Move number=22, number of leaves=41487, time to find=0.04543113708496094
INFO:root:Move number=23, number of leaves=41978, time to find=0.027981042861938477
INFO:root:Move number=24, number of leaves=42541, time to find=0.030780553817749023
INFO:root:Move number=25, number of leaves=43057, time to find=0.02794194221496582
INFO:root:Move number=26, number of leaves=43535, time to find=0.025382280349731445
INFO:root:Move number=27, number of leaves=43813, time to find=0.01695728302001953
INFO:root:Move number=28, number of leaves=44178, time to find=0.02155137062072754
INFO:root:Move number=29, number of leaves=44501, time to find=0.018204927444458008
INFO:root:Move number=30, number of leaves=44979, time to find=0.024473190307617188
INFO:root:Move number=31, number of leaves=45519, time to find=0.030704498291015625
INFO:root:Move number=32, number of leaves=46398, time to find=0.045411109924316406
INFO:root:Move number=33, number of leaves=47182, time to find=0.044059038162231445
INFO:root:Move number=34, number of leaves=47606, time to find=0.026932716369628906
INFO:root:Move number=35, number of leaves=48322, time to find=0.0394287109375
INFO:root:Move number=36, number of leaves=48833, time to find=0.030135393142700195
INFO:root:Move number=37, number of leaves=49291, time to find=0.028753280639648438
INFO:root:Move number=38, number of leaves=49824, time to find=0.031063079833984375
INFO:root:Move number=39, number of leaves=50280, time to find=0.028013229370117188
INFO:root:Move number=40, number of leaves=50823, time to find=0.029668569564819336
INFO:root:Move number=41, number of leaves=51233, time to find=0.02649712562561035
INFO:root:Move number=42, number of leaves=51504, time to find=0.019298315048217773
INFO:root:Move number=43, number of leaves=51863, time to find=0.02219533920288086
INFO:root:Move number=44, number of leaves=52211, time to find=0.019865036010742188
INFO:root:Move number=45, number of leaves=52413, time to find=0.012729167938232422
INFO:root:Move number=46, number of leaves=52453, time to find=0.005400657653808594
INFO:root:Move number=47, number of leaves=52507, time to find=0.005646944046020508
INFO:root:Move number=48, number of leaves=52648, time to find=0.010643959045410156
INFO:root:Move number=49, number of leaves=52684, time to find=0.005216836929321289
INFO:root:Move number=50, number of leaves=52782, time to find=0.00864553451538086
INFO:root:Move number=51, number of leaves=52895, time to find=0.008838891983032227
INFO:root:Move number=52, number of leaves=53025, time to find=0.009271621704101562
INFO:root:Move number=53, number of leaves=53352, time to find=0.021146059036254883
INFO:root:Move number=54, number of leaves=53539, time to find=0.012909173965454102
INFO:root:Move number=55, number of leaves=53744, time to find=0.012472152709960938
INFO:root:Move number=56, number of leaves=54194, time to find=0.027701377868652344
INFO:root:Move number=57, number of leaves=54541, time to find=0.023785114288330078
INFO:root:Move number=58, number of leaves=55086, time to find=0.031206369400024414
INFO:root:Move number=59, number of leaves=55377, time to find=0.019754409790039062
INFO:root:Move number=60, number of leaves=55675, time to find=0.021123886108398438
INFO:root:Move number=61, number of leaves=55957, time to find=0.018244266510009766
INFO:root:Move number=62, number of leaves=56181, time to find=0.01596379280090332
INFO:root:Move number=63, number of leaves=56432, time to find=0.018237590789794922
INFO:root:Move number=64, number of leaves=56748, time to find=0.020370960235595703
INFO:root:Move number=65, number of leaves=57072, time to find=0.01796245574951172
INFO:root:Move number=66, number of leaves=57429, time to find=0.021424293518066406
INFO:root:Move number=67, number of leaves=57896, time to find=0.02778172492980957
INFO:root:Move number=68, number of leaves=58398, time to find=0.03136014938354492
INFO:root:Move number=69, number of leaves=58948, time to find=0.032517433166503906
INFO:root:Move number=70, number of leaves=59488, time to find=0.029080629348754883
INFO:root:Move number=71, number of leaves=59718, time to find=0.015909194946289062
INFO:root:Move number=72, number of leaves=59905, time to find=0.015076875686645508
INFO:root:Move number=73, number of leaves=60065, time to find=0.012973785400390625
INFO:root:Move number=74, number of leaves=60247, time to find=0.01479959487915039
INFO:root:Move number=75, number of leaves=60403, time to find=0.013239383697509766
INFO:root:Move number=76, number of leaves=60537, time to find=0.011586666107177734
INFO:root:Move number=77, number of leaves=60753, time to find=0.014257192611694336
INFO:root:Move number=78, number of leaves=60842, time to find=0.01000666618347168
INFO:root:Move number=79, number of leaves=60955, time to find=0.008780717849731445
INFO:root:Move number=80, number of leaves=61041, time to find=0.00809478759765625
INFO:root:Move number=81, number of leaves=61238, time to find=0.015914201736450195
INFO:root:Move number=82, number of leaves=61485, time to find=0.019344329833984375
INFO:root:Move number=83, number of leaves=61560, time to find=0.0067408084869384766
INFO:root:Move number=84, number of leaves=61585, time to find=0.004091739654541016
INFO:root:Move number=85, number of leaves=61627, time to find=0.006124258041381836
INFO:root:Move number=86, number of leaves=61733, time to find=0.008634090423583984
INFO:root:Move number=87, number of leaves=61972, time to find=0.01631021499633789
INFO:root:Move number=88, number of leaves=62080, time to find=0.0118408203125
INFO:root:Move number=89, number of leaves=62216, time to find=0.009567022323608398
INFO:root:Move number=90, number of leaves=62362, time to find=0.010026216506958008
INFO:root:Move number=91, number of leaves=62654, time to find=0.01953601837158203
INFO:root:Move number=92, number of leaves=62771, time to find=0.008924245834350586
INFO:root:Move number=93, number of leaves=62791, time to find=0.0025479793548583984
INFO:root:Move number=94, number of leaves=62818, time to find=0.0041844844818115234
INFO:root:Move number=95, number of leaves=62830, time to find=0.002335786819458008
INFO:root:Move number=96, number of leaves=62879, time to find=0.0048677921295166016
INFO:root:Move number=97, number of leaves=62941, time to find=0.006165266036987305
INFO:root:Move number=98, number of leaves=62996, time to find=0.00627899169921875
INFO:root:Move number=99, number of leaves=63034, time to find=0.005155801773071289
INFO:root:Move number=100, number of leaves=63088, time to find=0.006033420562744141
INFO:root:Move number=101, number of leaves=63107, time to find=0.002996683120727539
INFO:root:Move number=102, number of leaves=63125, time to find=0.002750873565673828
INFO:root:Move number=103, number of leaves=63139, time to find=0.0021207332611083984
INFO:root:Move number=104, number of leaves=63159, time to find=0.0025513172149658203
INFO:root:Avg move time=0.031097923333828267, Max Tile=64
INFO:root:==============================
==============================
INFO:root:Heuristic is: return len(grid.getAvailableCells())
INFO:root:Move number=1, number of leaves=3837, time to find=0.17928838729858398
INFO:root:Move number=2, number of leaves=7620, time to find=0.1467444896697998
INFO:root:Move number=3, number of leaves=10135, time to find=0.1021585464477539
INFO:root:Move number=4, number of leaves=12707, time to find=0.10456538200378418
INFO:root:Move number=5, number of leaves=14930, time to find=0.09526968002319336
INFO:root:Move number=6, number of leaves=17129, time to find=0.09688091278076172
INFO:root:Move number=7, number of leaves=18819, time to find=0.07104945182800293
INFO:root:Move number=8, number of leaves=20830, time to find=0.08555793762207031
INFO:root:Move number=9, number of leaves=22698, time to find=0.07885503768920898
INFO:root:Move number=10, number of leaves=23485, time to find=0.03841543197631836
INFO:root:Move number=11, number of leaves=24331, time to find=0.04102158546447754
INFO:root:Move number=12, number of leaves=25315, time to find=0.052564144134521484
INFO:root:Move number=13, number of leaves=26437, time to find=0.05475568771362305
INFO:root:Move number=14, number of leaves=27263, time to find=0.04898381233215332
INFO:root:Move number=15, number of leaves=28207, time to find=0.04893851280212402
INFO:root:Move number=16, number of leaves=29034, time to find=0.039876461029052734
INFO:root:Move number=17, number of leaves=30213, time to find=0.0544893741607666
INFO:root:Move number=18, number of leaves=30979, time to find=0.043671369552612305
INFO:root:Move number=19, number of leaves=31380, time to find=0.021604061126708984
INFO:root:Move number=20, number of leaves=31742, time to find=0.021314620971679688
INFO:root:Move number=21, number of leaves=31988, time to find=0.016013145446777344
INFO:root:Move number=22, number of leaves=32311, time to find=0.025764942169189453
INFO:root:Move number=23, number of leaves=32558, time to find=0.017605304718017578
INFO:root:Move number=24, number of leaves=32851, time to find=0.018578529357910156
INFO:root:Move number=25, number of leaves=32956, time to find=0.009315967559814453
INFO:root:Move number=26, number of leaves=33102, time to find=0.012411355972290039
INFO:root:Move number=27, number of leaves=33183, time to find=0.00808095932006836
INFO:root:Move number=28, number of leaves=33211, time to find=0.0045320987701416016
INFO:root:Move number=29, number of leaves=33295, time to find=0.006506681442260742
INFO:root:Move number=30, number of leaves=33490, time to find=0.013525962829589844
INFO:root:Move number=31, number of leaves=33815, time to find=0.018977880477905273
INFO:root:Move number=32, number of leaves=33991, time to find=0.011614322662353516
INFO:root:Move number=33, number of leaves=34195, time to find=0.013633012771606445
INFO:root:Move number=34, number of leaves=34369, time to find=0.01380777359008789
INFO:root:Move number=35, number of leaves=34482, time to find=0.009479284286499023
INFO:root:Move number=36, number of leaves=34629, time to find=0.011466026306152344
INFO:root:Move number=37, number of leaves=34757, time to find=0.01120138168334961
INFO:root:Move number=38, number of leaves=34918, time to find=0.013515949249267578
INFO:root:Move number=39, number of leaves=35120, time to find=0.015773296356201172
INFO:root:Move number=40, number of leaves=35317, time to find=0.016481399536132812
INFO:root:Move number=41, number of leaves=35375, time to find=0.006034135818481445
INFO:root:Move number=42, number of leaves=35466, time to find=0.007050275802612305
INFO:root:Avg move time=0.04065177554175967, Max Tile=32
INFO:root:==============================
========================================
INFO:root:Heuristic is: return len(grid.getAvailableCells())
INFO:root:Move number=1, number of leaves=2959, time to find=0.14046788215637207
INFO:root:Move number=2, number of leaves=4211, time to find=0.05027508735656738
INFO:root:Move number=3, number of leaves=6146, time to find=0.07762479782104492
INFO:root:Move number=4, number of leaves=8558, time to find=0.09863114356994629
INFO:root:Move number=5, number of leaves=10977, time to find=0.09989070892333984
INFO:root:Move number=6, number of leaves=13031, time to find=0.08916735649108887
INFO:root:Move number=7, number of leaves=14982, time to find=0.08742690086364746
INFO:root:Move number=8, number of leaves=17715, time to find=0.11087989807128906
INFO:root:Move number=9, number of leaves=19736, time to find=0.08796024322509766
INFO:root:Move number=10, number of leaves=21702, time to find=0.08704423904418945
INFO:root:Move number=11, number of leaves=23373, time to find=0.0747079849243164
INFO:root:Move number=12, number of leaves=25930, time to find=0.10498762130737305
INFO:root:Move number=13, number of leaves=28144, time to find=0.09093832969665527
INFO:root:Move number=14, number of leaves=29745, time to find=0.07163810729980469
INFO:root:Move number=15, number of leaves=31124, time to find=0.06311869621276855
INFO:root:Move number=16, number of leaves=32555, time to find=0.06603574752807617
INFO:root:Move number=17, number of leaves=33734, time to find=0.05644798278808594
INFO:root:Move number=18, number of leaves=35278, time to find=0.06868982315063477
INFO:root:Move number=19, number of leaves=37294, time to find=0.08434510231018066
INFO:root:Move number=20, number of leaves=38414, time to find=0.05009937286376953
INFO:root:Move number=21, number of leaves=39311, time to find=0.04211854934692383
INFO:root:Move number=22, number of leaves=40485, time to find=0.05515718460083008
INFO:root:Move number=23, number of leaves=41480, time to find=0.047560691833496094
INFO:root:Move number=24, number of leaves=42822, time to find=0.0597538948059082
INFO:root:Move number=25, number of leaves=44166, time to find=0.0606689453125
INFO:root:Move number=26, number of leaves=45689, time to find=0.0660555362701416
INFO:root:Move number=27, number of leaves=46881, time to find=0.05663037300109863
INFO:root:Move number=28, number of leaves=48042, time to find=0.055110931396484375
INFO:root:Move number=29, number of leaves=49022, time to find=0.04770803451538086
INFO:root:Move number=30, number of leaves=50154, time to find=0.05474066734313965
INFO:root:Move number=31, number of leaves=51641, time to find=0.06524515151977539
INFO:root:Move number=32, number of leaves=52668, time to find=0.050717830657958984
INFO:root:Move number=33, number of leaves=53298, time to find=0.03352236747741699
INFO:root:Move number=34, number of leaves=54178, time to find=0.040741682052612305
INFO:root:Move number=35, number of leaves=54712, time to find=0.02952265739440918
INFO:root:Move number=36, number of leaves=54962, time to find=0.01863861083984375
INFO:root:Move number=37, number of leaves=55391, time to find=0.02474212646484375
INFO:root:Move number=38, number of leaves=55552, time to find=0.013443470001220703
INFO:root:Move number=39, number of leaves=55811, time to find=0.016482830047607422
INFO:root:Move number=40, number of leaves=56011, time to find=0.01478719711303711
